$,int,int,Skip,int,int,int,int,int,int,int,Array,int,int,Boolean,int,int,Array,Array,Array,int,Array,int,Array,Array,Array,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
!,id,langName,Skip,chapterID,mapID,resID,level,recommendBP,dungeonType,battleType,battleOption,energyCost,failEnergyCost,canRush,limitTime,scoreTime,score,extraBonus,resourceReward,fixedReward,randReward,dropType,superArmorInterval,superArmorFallDown,superArmorDuration,canRevival,mHP,mCp,mCPRev,mCPStr,mPAtt,mPDef,mCAtt,mCDef,bHP,bCp,bCPRev,bCPStr,bPAtt,bPDef,bCAtt,bCDef,bHPCol
#,ID,名称L,名称,所属章节,配置ID,选关图ID,关卡级别,推荐战力,关卡类别,战斗类别,战斗参数,体力消耗,失败体力返回,可否扫荡,关卡限时,评分参考时间,关卡评分,额外金币灵子加成,经验金币灵子奖励,固定奖励,随机奖励,掉落类型,随机霸体间隔,倒地激活霸体,霸体持续时间,可复活次数,怪物血量,怪物灵压,怪物灵压恢复,怪物灵压强化,怪物物理攻击,怪物物理防御,怪物灵压攻击,怪物灵压防御,boss血量,boss灵压,boss灵压恢复,boss灵压强化,boss物理攻击,boss物理防御,boss灵压攻击,boss灵压防御,boss血条数量
,14100000,141000001,开场序章,,14100000,11200004,1,1700,1,2,,0,0,FALSE,0,240,"[0,0,0]","[0,0,0]","[1000,500,250]",,[],4,"[29925,39965]","[2,4]","[0,0]",0,3350,0,0,0,100,536,100,536,26800,0,3350,0,100,603,100,603,2
,14100001,141000011,来到现世,14300001,14100001,11200602,2,1900,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234001,17100103]]",3,"[29850,39930]","[2,4]","[0,1000]",5,3650,0,0,0,584,584,584,584,29200,0,3650,0,657,657,657,657,2
,14100002,141000021,代理死神,14300001,14100002,11200601,3,2100,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29775,39895]","[2,4]","[0,1000]",5,4000,0,0,0,640,640,640,640,32000,0,4000,0,720,720,720,720,3
,14100003,141000031,死神的工作1,14300001,14100003,11200029,4,2200,1,19,"[1,30]",5,5,TRUE,120,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234003,17100103]]",3,"[29700,39860]","[2,4]","[1000,1000]",5,4350,0,0,0,696,696,696,696,34800,0,4350,0,783,783,783,783,3
,14100004,141000041,死神的工作2,14300001,14100004,11200027,5,2500,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29625,39825]","[2,4]","[1000,1000]",5,4700,0,0,0,752,752,752,752,37600,0,4700,0,846,846,846,846,3
,14100005,141000051,哥哥的回忆,14300001,14100005,11200603,6,2700,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234005,17100103]]",3,"[29550,39790]","[2,4]","[1000,1000]",5,5050,0,0,0,808,808,808,808,40400,0,5050,0,909,909,909,909,4
,14100006,141000061,哀泣之魂1,14300001,14100006,11200021,7,2900,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29475,39755]","[2,4]","[1000,2000]",5,5450,0,0,0,872,872,872,872,43600,0,5450,0,981,981,981,981,4
,14100007,141000071,哀泣之魂2,14300001,14100007,11200023,8,3100,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29400,39720]","[2,4]","[1000,2000]",5,5850,0,0,0,936,936,936,936,46800,0,5850,0,1053,1053,1053,1053,4
