$,int,int,Skip,int,Skip,int,int,int,Boolean,int,int,Array,Array,int,int,Array,Array,int,Array,Array,int,Array,Array
!,id,langName,Skip,langDesc,Skip,res,type,defaultQuality,isOpen,defaultStar,starProp,starPrboValue,starBP,defaultStrengthLv,strengthAttr,strengthArray,strengthBP,defaultGrade,gradeFix,battleBuffID,itemID,soulLinkID,CVList
#,ID,名称L,名称,描述L,描述,资源ID,类别,默认品质,是否开放,默认星级,星级属性,星级属性数值,星级战斗力,默认强化等级,强化属性,强化数值,强化战斗力,默认阶级,阶级加成,战斗BuffID,碎片ID,羁绊ID,语音列表
,12300001,123000011,黑崎一护<始解>,123000012,该灵魂装备后增加主角力量和物理攻击,12300001,1,3,TRUE,1,12800109,"[99,298,595,992,1488]","[79,238,476,794,1190]",1,12800103,"[200,209,217,226,236,247,258,269,280,293,306,319,334,349,365,382,400,418,438,458,480,502,526,550,576,603,632,662,693,727,762,798,837,878,920,964,1011,1060,1112,1166,1222,1282,1345,1410,1479,1552,1628,1708,1792,1880,1973,2070,2172,2279,2391,2509,2633,2763,2900,3043,3193,3351,3517,3692,3875,4067,4269,4481,4704,4937,5182,5440,5710,5994,6292,6605,6934,7279,7642,8023]","[20,21,22,23,24,25,26,27,28,29,31,32,33,35,37,38,40,42,44,46,48,50,53,55,58,60,63,66,69,73,76,80,84,88,92,96,101,106,111,117,122,128,134,141,148,155,163,171,179,188,197,207,217,228,239,251,263,276,290,304,319,335,352,369,387,407,427,448,470,494,518,544,571,599,629,661,693,728,764,802]",1,"[1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000]", ,12900001,"[16600001,16600023,16600038]","[41,04_Ichigo]"
,12300002,123000021,黑崎一护<卍解>,123000022,该灵魂装备后增加主角体质和物理攻击，且【月牙天冲】无蓄力，释放后增加物攻,12300002,1,4,TRUE,1,12800108,"[528,1584,3168,5280,7920]","[422,1267,2534,4224,6336]",1,12800103,"[333,348,362,377,394,411,430,448,467,488,509,532,557,582,609,636,666,697,730,763,799,837,876,917,960,1005,1053,1103,1156,1211,1269,1331,1395,1463,1533,1607,1685,1767,1853,1943,2037,2137,2241,2351,2465,2586,2713,2846,2986,3133,3288,3449,3619,3798,3985,4182,4388,4605,4833,5071,5322,5585,5862,6153,6458,6778,7115,7469,7839,8228,8637,9066,9517,9990,10486,11009,11556,12132,12736,13371]","[33,35,36,38,39,41,43,45,47,49,51,53,56,58,61,64,67,70,73,76,80,84,88,92,96,101,105,110,116,121,127,133,140,146,153,161,168,177,185,194,204,214,224,235,247,259,271,285,299,313,329,345,362,380,398,418,439,461,483,507,532,559,586,615,646,678,712,747,784,823,864,907,952,999,1049,1101,1156,1213,1274,1337]",1,"[1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500]","[15100101,15100102,15100103,15100104,15100105]",12900002,"[16600025,16600034,16600036]",[03_Ichigo]
,12300003,123000031,黑崎一护<虚化>,123000032,,12300003,1,5,FALSE,1,0,"[0,0,0,0,0]","[0,0,0,0,0]",1,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[94,98,102,107,111,116,121,127,132,138,144,150,157,164,172,180,188,197,206,216,226,236,247,259,271,284,298,312,326,342,359,376,394,413,433,454,476,499,523,549,576,604,633,664,696,731,766,804,844,885,929,974,1022,1073,1126,1181,1240,1301,1365,1433,1504,1578,1656,1738,1824,1915,2010,2110,2215,2325,2440,2561,2688,2822,2962,3110,3265,3427,3598,3777]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15100201,15100202,15100203,15100204,15100205]",12900003,"[16600029,16600030]",[]
,12300004,123000041,白崎一护,123000042,该灵魂装备后增加主角力量和灵力攻击，且增加【斩月之舞】攻击力,12300004,1,4,TRUE,1,12800109,"[484,1452,2904,4840,7260]","[387,1162,2323,3872,5808]",1,12800103,"[500,521,543,566,591,617,644,672,701,732,764,798,835,873,913,955,999,1045,1094,1145,1199,1256,1314,1375,1440,1508,1580,1655,1733,1816,1904,1996,2093,2194,2300,2411,2527,2650,2779,2915,3056,3205,3362,3526,3698,3879,4070,4269,4480,4699,4931,5174,5429,5696,5977,6272,6583,6908,7249,7607,7983,8378,8793,9229,9687,10168,10673,11203,11759,12343,12955,13599,14275,14984,15729,16513,17335,18198,19104,20056]","[50,52,54,57,59,62,64,67,70,73,76,80,83,87,91,95,100,105,109,115,120,126,131,138,144,151,158,166,173,182,190,200,209,219,230,241,253,265,278,291,306,320,336,353,370,388,407,427,448,470,493,517,543,570,598,627,658,691,725,761,798,838,879,923,969,1017,1067,1120,1176,1234,1296,1360,1427,1498,1573,1651,1733,1820,1910,2006]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15100301,15100302,15100303,15100304,15100305]",12900004,"[16600025,16600030]",[02_Ichigo_ef]
,12300005,123000051,井上织姬,123000052,该灵魂装备后增加主角灵力和灵力防御,12300005,2,3,TRUE,1,12800111,"[77,230,461,768,1152]","[61,184,369,614,922]",1,12800106,"[197,206,214,224,233,244,255,265,277,289,302,315,330,345,361,377,395,413,432,452,474,496,519,543,569,595,624,654,685,717,752,788,827,867,909,952,998,1047,1098,1151,1207,1266,1328,1393,1461,1532,1608,1686,1769,1856,1948,2044,2144,2250,2361,2478,2600,2729,2863,3005,3153,3309,3473,3645,3826,4016,4216,4425,4645,4875,5117,5372,5639,5919,6213,6523,6847,7188,7546,7922]","[20,21,21,22,23,24,25,27,28,29,30,32,33,34,36,38,39,41,43,45,47,50,52,54,57,60,62,65,68,72,75,79,83,87,91,95,100,105,110,115,121,127,133,139,146,153,161,169,177,186,195,204,214,225,236,248,260,273,286,300,315,331,347,365,383,402,422,443,464,488,512,537,564,592,621,652,685,719,755,792]",1,"[1000,1180,1360,1540,1720,1900,2080,2260,2440,2620,2800]",,12900005,"[16600002,16600024]",[N_017]
,12300006,123000061,井上织姬<战斗>,123000062,该灵魂装备后增加主角灵力和灵力防御，且受击概率释放【双天归盾】以回复生命,12300006,2,4,TRUE,1,12800111,"[436,1307,2614,4356,6534]","[348,1045,2091,3485,5227]",1,12800106,"[329,343,357,373,389,406,424,442,462,482,503,525,550,575,601,628,658,688,720,754,789,827,865,906,948,992,1040,1090,1141,1196,1253,1314,1378,1444,1514,1587,1664,1745,1830,1919,2012,2110,2213,2321,2434,2554,2679,2811,2949,3094,3246,3406,3574,3750,3935,4129,4333,4548,4772,5008,5256,5516,5789,6076,6377,6694,7026,7375,7741,8125,8529,8953,9398,9865,10355,10871,11412,11980,12577,13204]","[33,34,36,37,39,41,42,44,46,48,50,53,55,57,60,63,66,69,72,75,79,83,87,91,95,99,104,109,114,120,125,131,138,144,151,159,166,174,183,192,201,211,221,232,243,255,268,281,295,309,325,341,357,375,394,413,433,455,477,501,526,552,579,608,638,669,703,738,774,813,853,895,940,986,1036,1087,1141,1198,1258,1320]",1,"[1000,1180,1360,1540,1720,1900,2080,2260,2440,2620,2800]","[15100401,15100402,15100403,15100404,15100405]",12900006,"[16600026,16600059]",[10_Orihime]
,12300007,123000071,茶渡泰虎,123000072,该灵魂装备后增加主角精神和灵力攻击,12300007,1,3,TRUE,1,12800110,"[68,204,408,680,1020]","[54,163,326,544,816]",1,12800105,"[192,201,209,218,227,237,248,259,270,282,294,307,321,336,352,368,385,402,421,441,462,483,506,530,554,580,608,637,667,699,733,768,806,845,886,928,973,1020,1070,1122,1177,1234,1294,1357,1424,1493,1567,1644,1725,1809,1899,1992,2090,2193,2301,2415,2534,2660,2791,2929,3074,3226,3385,3553,3729,3915,4109,4313,4527,4752,4988,5236,5496,5769,6056,6357,6674,7006,7355,7722]","[19,20,21,22,23,24,25,26,27,28,29,31,32,34,35,37,38,40,42,44,46,48,51,53,55,58,61,64,67,70,73,77,81,84,89,93,97,102,107,112,118,123,129,136,142,149,157,164,172,181,190,199,209,219,230,241,253,266,279,293,307,323,339,355,373,391,411,431,453,475,499,524,550,577,606,636,667,701,736,772]",1,"[1000,1190,1380,1570,1760,1950,2140,2330,2520,2710,2900]",,12900007,"[16600002,16600045]",[]
,12300008,123000081,茶渡泰虎<战斗>,123000082,该灵魂装备后增加主角力量和灵力攻击，且击中敌人，概率释放【巨人的右臂】,12300008,1,4,TRUE,1,12800109,"[400,1201,2402,4004,6006]","[320,961,1922,3203,4805]",1,12800105,"[321,335,348,363,379,396,413,431,450,470,490,512,536,560,586,613,641,671,702,735,769,806,843,883,924,967,1014,1062,1112,1165,1222,1281,1343,1408,1476,1547,1622,1701,1783,1870,1961,2056,2157,2262,2373,2489,2611,2739,2875,3015,3164,3320,3484,3655,3835,4025,4224,4433,4652,4881,5123,5376,5642,5922,6216,6524,6848,7188,7545,7920,8313,8726,9160,9615,10093,10596,11123,11677,12258,12869]","[32,33,35,36,38,40,41,43,45,47,49,51,54,56,59,61,64,67,70,73,77,81,84,88,92,97,101,106,111,117,122,128,134,141,148,155,162,170,178,187,196,206,216,226,237,249,261,274,287,302,316,332,348,366,384,402,422,443,465,488,512,538,564,592,622,652,685,719,755,792,831,873,916,962,1009,1060,1112,1168,1226,1287]",1,"[1000,1190,1380,1570,1760,1950,2140,2330,2520,2710,2900]","[15100501,15100502,15100503,15100504,15100505]",12900008,"[16600026,16600060]",[]
