$,int,Skip,int,Skip,int,Skip,Skip,int,String,int,Array,int,int,int,int,int,int,int,int,Array,Array,Array,Array,Array,Array,int
!,id,skip,langName,Skip,langDesc,Skip,Skip,icon,res,battleBuffID,bulletID,monsterID,range,AICombo,upgradeType,upgradeLv,damType,cdTime,hitNum,exHPDam,exCPDam,dam,costCP,skillBP,costSkillPoint,ComboLevel
#,编号,用途,名称L,名称,描述L,描述,备注,图标,技能配置,BUFFID,发射物ID,召唤物ID,距离,AI连击,升级方式,升级等级间隔,伤害类型,CD时间,hit数,直接物理伤害,直接灵压伤害,伤害,消耗灵压,战斗力,灵子消耗,连续技优先级
,15110301,斩月,151103011,斩月·普攻1,151103012,斩月普攻1,,15110301,zy_att1,,,,1,"[[15110301,15110302,15110303,15110304]]",1,1,1,0,8,,,"[211,219,227,234,250,266,281,297,312,328,344,359,375,391,406,430,453,477,500,523,547,570,602,633,664,695,734,773,820,867,922,977,1039,1102,1172,1250,1328,1414,1508,1609,1719,1836,1961,2094,2242,2398,2562,2742,2930,3133,3352,3586,3836,4102,4383,4688,5008,5352,5719,6109,6523,6969,7438,7938,8469,9039,9641,10281,10969,11695,12469,13289,14164,15094,16078,17125,18234,19414,20664,21992]",,,,10
,15110302,斩月,151103021,斩月·普攻2,151103022,斩月普攻2,,15110302,zy_att2,,,,0,,1,1,1,0,8,,,"[211,219,227,234,250,266,281,297,312,328,344,359,375,391,406,430,453,477,500,523,547,570,602,633,664,695,734,773,820,867,922,977,1039,1102,1172,1250,1328,1414,1508,1609,1719,1836,1961,2094,2242,2398,2562,2742,2930,3133,3352,3586,3836,4102,4383,4688,5008,5352,5719,6109,6523,6969,7438,7938,8469,9039,9641,10281,10969,11695,12469,13289,14164,15094,16078,17125,18234,19414,20664,21992]",,,,10
,15110303,斩月,151103031,斩月·普攻3,151103032,斩月普攻3,,15110303,zy_att3,,,,0,,1,1,1,0,8,,,"[211,219,227,234,250,266,281,297,312,328,344,359,375,391,406,430,453,477,500,523,547,570,602,633,664,695,734,773,820,867,922,977,1039,1102,1172,1250,1328,1414,1508,1609,1719,1836,1961,2094,2242,2398,2562,2742,2930,3133,3352,3586,3836,4102,4383,4688,5008,5352,5719,6109,6523,6969,7438,7938,8469,9039,9641,10281,10969,11695,12469,13289,14164,15094,16078,17125,18234,19414,20664,21992]",,,,10
,15110304,斩月,151103041,斩月·普攻4,151103042,斩月普攻4,,15110304,zy_att4,,,,0,,1,1,1,0,8,,,"[211,219,227,234,250,266,281,297,312,328,344,359,375,391,406,430,453,477,500,523,547,570,602,633,664,695,734,773,820,867,922,977,1039,1102,1172,1250,1328,1414,1508,1609,1719,1836,1961,2094,2242,2398,2562,2742,2930,3133,3352,3586,3836,4102,4383,4688,5008,5352,5719,6109,6523,6969,7438,7938,8469,9039,9641,10281,10969,11695,12469,13289,14164,15094,16078,17125,18234,19414,20664,21992]",,,,10
,15110305,斩月,151103051,斩月·普攻5,151103052,斩月普攻5,,15110305,zy_att5,,,,0,,1,1,1,0,6,,,"[281,292,302,312,333,354,375,396,417,438,458,479,500,521,542,573,604,635,667,698,729,760,802,844,885,927,979,1031,1094,1156,1229,1302,1385,1469,1562,1667,1771,1885,2010,2146,2292,2448,2615,2792,2990,3198,3417,3656,3906,4177,4469,4781,5115,5469,5844,6250,6677,7135,7625,8146,8698,9292,9917,10583,11292,12052,12854,13708,14625,15594,16625,17719,18885,20125,21438,22833,24312,25885,27552,29323]",,,,10
,15110306,斩月,151103061,斩月之舞,151103062,使用斩月进行连斩，最后从上而下进行强力的斩击。,,15110306,zy_zyzw,,,,1,,2,1,1,9,7,,,"[434,450,466,482,514,546,579,611,643,675,707,739,771,804,836,884,932,980,1029,1077,1125,1173,1238,1302,1366,1430,1511,1591,1688,1784,1896,2009,2138,2266,2411,2571,2732,2909,3102,3311,3536,3777,4034,4307,4612,4934,5271,5641,6027,6445,6895,7377,7891,8438,9016,9643,10302,11009,11764,12568,13420,14336,15300,16329,17421,18595,19832,21150,22564,24059,25650,27338,29138,31050,33075,35229,37511,39938,42509,45241]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
,15110307,斩月,151103071,月牙天冲,151103072,使用斩月吸收灵压，释放出月牙形的斩击。可通过蓄力来控制斩击的大小和威力。,,15110307,zy_yytc,,"[15600101,15600102,15600103]",,3,,2,1,1,7,4,,,"[844,875,906,938,1000,1062,1125,1188,1250,1312,1375,1438,1500,1562,1625,1719,1812,1906,2000,2094,2188,2281,2406,2531,2656,2781,2938,3094,3281,3469,3688,3906,4156,4406,4688,5000,5312,5656,6031,6438,6875,7344,7844,8375,8969,9594,10250,10969,11719,12531,13406,14344,15344,16406,17531,18750,20031,21406,22875,24438,26094,27875,29750,31750,33875,36156,38562,41125,43875,46781,49875,53156,56656,60375,64312,68500,72938,77656,82656,87969]",,"[72,75,77,80,85,91,96,101,107,112,117,123,128,133,139,147,155,163,171,179,187,195,205,216,227,237,251,264,280,296,315,333,355,376,400,427,453,483,515,549,587,627,669,715,765,819,875,936,1000,1069,1144,1224,1309,1400,1496,1600,1709,1827,1952,2085,2227,2379,2539,2709,2891,3085,3291,3509,3744,3992,4256,4536,4835,5152,5488,5845,6224,6627,7053,7507]","[167,167,167,167,333,333,333,333,333,333,333,333,333,333,333,500,500,500,500,500,500,500,667,667,667,667,833,833,1000,1000,1167,1167,1333,1333,1500,1667,1667,1833,2000,2167,2333,2500,2667,2833,3167,3333,3500,3833,4000,4333,4667,5000,5333,5667,6000,6500,6833,7333,7833,8333,8833,9500,10000,10667,11333,12167,12833,13667,14667,15500,16500,17500,18667,19833,21000,22333,23667,25167,26667,28333]",10
,15110308,斩月,151103081,破军升龙,151103082,手握斩月向前冲锋，使用斩月将敌人击飞。,,15110308,zy_pjsl,,,,3,,2,1,1,7,5,,,"[540,560,580,600,640,680,720,760,800,840,880,920,960,1000,1040,1100,1160,1220,1280,1340,1400,1460,1540,1620,1700,1780,1880,1980,2100,2220,2360,2500,2660,2820,3000,3200,3400,3620,3860,4120,4400,4700,5020,5360,5740,6140,6560,7020,7500,8020,8580,9180,9820,10500,11220,12000,12820,13700,14640,15640,16700,17840,19040,20320,21680,23140,24680,26320,28080,29940,31920,34020,36260,38640,41160,43840,46680,49700,52900,56300]",,"[58,60,62,64,68,73,77,81,85,90,94,98,102,107,111,117,124,130,137,143,149,156,164,173,181,190,201,211,224,237,252,267,284,301,320,341,363,386,412,439,469,501,535,572,612,655,700,749,800,855,915,979,1047,1120,1197,1280,1367,1461,1562,1668,1781,1903,2031,2167,2313,2468,2633,2807,2995,3194,3405,3629,3868,4122,4390,4676,4979,5301,5643,6005]","[133,133,133,133,267,267,267,267,267,267,267,267,267,267,267,400,400,400,400,400,400,400,533,533,533,533,667,667,800,800,933,933,1067,1067,1200,1333,1333,1467,1600,1733,1867,2000,2133,2267,2533,2667,2800,3067,3200,3467,3733,4000,4267,4533,4800,5200,5467,5867,6267,6667,7067,7600,8000,8533,9067,9733,10267,10933,11733,12400,13200,14000,14933,15867,16800,17867,18933,20133,21333,22667]",10
